worker id,Passage,Event,EventCorrect,Question,QuestionCorrect,QA,QACorrect,Explanation
qiang,New York is <span class='event'>welcoming</span> the new year.,,,,,What has happened? welcoming,n,"Remember to put yourself at the time point when the sentence was written/spoken. Some people tend to think that the sentence describes something in the past, which is true when you read news articles, but we don't want you to do that in this task."
qiang,The <span class='event'>trade</span> between the two countries has been stopped,,,,,What will happen in the future? trade,n,"Only consider the information provided in the passage. All you know from the sentence is that trade is stopped; is it possible that ""trade"" will resume between the two countries later? Our personal experience would say yes, but that's not what the sentence tells you."
qiang,"The <span class='event'>trade</span> between the two countries has been stopped, but it will soon resume.",,,,,What will happen in the future? trade,y,Make sure you use *all* the information in the passage. The trade is stopped but will be resumed later.
qiang,"""The sun <span class='event'>rose</span> in the west yesterday,"" Joe lied to me.",,,,,What happened yesterday? rose,n,"Every question is implicitly from the stance of speaker. The speaker quotes ""Joe"", but the speaker thinks Joe lied, so the Sun didn't rise from the west."
qiang,"""The sun <span class='event'>rose</span> in the west yesterday,"" Joe lied to me.",,,,,What happened yesterday according to Joe? rose,y,"According to Joe, the Sun did rise in the west."
qiang,"""The sun <span class='event'>rose</span> in the west yesterday,"" Joe said to me.",,,,,What happened yesterday? rose,y,"There's no obvious evidence saying that the speaker doesn't believe in Joe, so we assume that the speaker agrees with Joe."
qiang,"The bus usually leaves at 10 am every Monday, but it is likely to <span class='event'>leave</span> early tomorrow.",,,,,What will happen tomorrow? leave,n,"""Will"" indicates certainty, while the passage only says ""likely"", which is less certain as compared to ""will""."
qiang,"The bus usually leaves at 10 am every Monday, but it will <span class='event'>leave</span> early tomorrow.",,,,,What is likely to happen tomorrow? leave,y,"The question requires something likely to happen. Something that ""will"" happen will also be likely to happen, so it's correct."
qiang,"The bus usually <span class='event'>leaves</span> at 10 am every Monday, but it will leave early tomorrow.",,,,,What has happened? leaves,y,"""Leaves"" is a recurrent event and it happens both in the past and in the future, unless the speaker provides other evidence."
qiang,"The bus always leaves at 10 am every Monday, and it will not <span class='event'>leave</span> early tomorrow.",,,,,What won't happen tomorrow? leave,y,It won't leave early tomorrow.
qiang,"The bus always leaves at 10 am every Monday, and it will not <span class='event'>leave</span> early tomorrow.",,,,,What will happen tomorrow? leave,n,"Note the question is asking for something positive, while the ""leave"" is negative."
qiang,"The bus always <span class='event'>leaves</span> at 10 am every Monday, 30 minutes after arriving on campus.",,,,,What always happens after the bus arrives on campus? leaves,y,This is a repetitive event.
A222XREQ12K58P,"Profit at the unit fell to $110.6 million, or 37 cents a share, from $142.4 million, or 45 cents a share, largely because of a $24 million one-time charge associated with Hughes's previously announced plan to <span class='event'>reduce</span> employment by at least 6,000 people by year end. Even excluding the charge, however, net fell 5%.",,,,,What happened after the net fall? reduce,n,"A correct answer should first start after the net fall, and second, have ended before ""now"". ""Reduce"" doesn't satisfy the second requirement because there's no evidence from the passage saying that the reduction has ended or not. ""Reduce"" would be correct if the question were ""What will happen after the net fall"" or ""What happens after the net fall"" (it's ok to use present tense)."
A222XREQ12K58P,"However, cited by District of Columbia traffic police in December for driving under the influence of alcohol, Farkas <span class='event'>retired</span>.",,,,,What is happening now? retired,n,"Is Farkas retired now? Yes. Then why is this not a correct answer? That's because the passage says ""Farkas retired"", where ""retired"" is an action instead of a state. If the passage were ""Farkas retired at the age of 65 and he has been retired since then"", then the second ""retired"" is a correct answer to this question."
AQORJW4W8U9YU,"The acquisition would give Wilmington, Del.-based Star States access to the Pennsylvania market. The agreement is subject to regulatory approval and resolution of lawsuits <span class='event'>brought</span> by certain Diversified holders in connection with the proposed merger.",,,,,What happens before the approval? brought,n,"we can see that ""brought"" is before ""resolution"", but since we don't know the temporal ordering of ""resolution"" and ""approval"", ""brought"" may not be the answer"
